date,rank,song,artist,last-week,peak-rank,weeks-on-board
7/4/2015,29,Slow Motion,Trey Songz,29,26,19
7/4/2015,30,Elastic Heart,Sia,32,17,24
7/4/2015,31,The Night Is Still Young,Nicki Minaj,35,31,7
7/4/2015,32,Take Your Time,Sam Hunt,33,20,25
7/4/2015,33,Budapest,George Ezra,36,32,21
7/4/2015,34,Photograph,Ed Sheeran,41,34,6
7/4/2015,35,Dear Future Husband,Meghan Trainor,30,14,23
7/4/2015,36,Kick The Dust Up,Luke Bryan,37,26,5
7/4/2015,37,Somebody,Natalie La Rose Featuring Jeremih,31,10,22
7/4/2015,38,Style,Taylor Swift,34,6,28
7/4/2015,39,Sangria,Blake Shelton,40,39,10
7/4/2015,40,Shake It Off,Taylor Swift,39,1,44
7/4/2015,41,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,38,8,32
7/4/2015,42,Blank Space,Taylor Swift,42,1,34
7/4/2015,43,Be Real,Kid Ink Featuring DeJ Loaf,44,43,10
7/4/2015,44,Fun,Pitbull Featuring Chris Brown,47,44,6
7/4/2015,45,Bright,Echosmith,43,40,14
7/4/2015,46,Love Me Like You Mean It,Kelsea Ballerini,45,45,12
7/4/2015,47,Little Toy Guns,Carrie Underwood,48,47,14
7/4/2015,48,Blessings,Big Sean Featuring Drake,46,28,20
7/4/2015,49,Uma Thurman,Fall Out Boy,51,49,11
7/4/2015,50,Classic Man,Jidenna Featuring Roman GianArthur,60,50,7
6/27/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,14
6/27/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2,1,7
6/27/2015,3,Trap Queen,Fetty Wap,3,2,21
6/27/2015,4,Shut Up And Dance,WALK THE MOON,4,4,31
6/27/2015,5,Want To Want Me,Jason Derulo,5,5,14
6/27/2015,6,Uptown Funk!,Mark Ronson Featuring Bruno Mars,6,1,31
6/27/2015,7,Cheerleader,OMI,11,7,8
6/27/2015,8,Earned It (Fifty Shades Of Grey),The Weeknd,7,3,25
6/27/2015,9,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,8,8,12
6/27/2015,10,Honey I'm Good.,Andy Grammer,9,9,16
6/27/2015,11,Watch Me,Silento,15,11,16
6/27/2015,12,Sugar,Maroon 5,10,2,22
6/27/2015,13,You Know You Like It,DJ Snake & AlunaGeorge,14,13,12
6/27/2015,14,Talking Body,Tove Lo,12,12,20
6/27/2015,15,Worth It,Fifth Harmony Featuring Kid Ink,18,15,17
6/27/2015,16,Where Are U Now,Skrillex & Diplo With Justin Bieber,19,16,15
6/27/2015,17,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,16,13,23
6/27/2015,18,Nasty Freestyle,T-Wayne,13,9,9
6/27/2015,19,Fight Song,Rachel Platten,25,19,9
6/27/2015,20,Lean On,Major Lazer & DJ Snake Featuring MO,22,20,10
6/27/2015,21,Thinking Out Loud,Ed Sheeran,20,2,36
6/27/2015,22,Love Me Like You Do,Ellie Goulding,17,3,23
6/27/2015,23,The Hills,The Weeknd,21,20,3
6/27/2015,24,Can't Feel My Face,The Weeknd,,24,1
6/27/2015,25,This Summer's Gonna Hurt...,Maroon 5,23,23,5
6/27/2015,26,B**** Better Have My Money,Rihanna,24,17,12
6/27/2015,27,Flex (Ooh Ooh Ooh),Rich Homie Quan,30,27,8
6/27/2015,28,Girl Crush,Little Big Town,29,18,17
6/27/2015,29,Slow Motion,Trey Songz,27,26,18
6/27/2015,30,Dear Future Husband,Meghan Trainor,26,14,22
6/27/2015,31,Somebody,Natalie La Rose Featuring Jeremih,28,10,21
6/27/2015,32,Elastic Heart,Sia,33,17,23
6/27/2015,33,Take Your Time,Sam Hunt,35,20,24
6/27/2015,34,Style,Taylor Swift,31,6,27
6/27/2015,35,The Night Is Still Young,Nicki Minaj,36,35,6
6/27/2015,36,Budapest,George Ezra,34,32,20
6/27/2015,37,Kick The Dust Up,Luke Bryan,41,26,4
6/27/2015,38,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,32,8,31
6/27/2015,39,Shake It Off,Taylor Swift,38,1,43
6/27/2015,40,Sangria,Blake Shelton,39,39,9
6/27/2015,41,Photograph,Ed Sheeran,42,41,5
6/27/2015,42,Blank Space,Taylor Swift,37,1,33
6/27/2015,43,Bright,Echosmith,40,40,13
6/27/2015,44,Be Real,Kid Ink Featuring DeJ Loaf,45,44,9
6/27/2015,45,Love Me Like You Mean It,Kelsea Ballerini,53,45,11
6/27/2015,46,Blessings,Big Sean Featuring Drake,46,28,19
6/27/2015,47,Fun,Pitbull Featuring Chris Brown,50,47,5
6/27/2015,48,Little Toy Guns,Carrie Underwood,55,48,13
6/27/2015,49,Sippin' On Fire,Florida Georgia Line,44,40,14
6/27/2015,50,Time Of Our Lives,Pitbull & Ne-Yo,48,9,27
6/20/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,13
6/20/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2,1,6
6/20/2015,3,Trap Queen,Fetty Wap,3,2,20
6/20/2015,4,Shut Up And Dance,WALK THE MOON,4,4,30
6/20/2015,5,Want To Want Me,Jason Derulo,7,5,13
6/20/2015,6,Uptown Funk!,Mark Ronson Featuring Bruno Mars,5,1,30
6/20/2015,7,Earned It (Fifty Shades Of Grey),The Weeknd,6,3,24
6/20/2015,8,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,8,8,11
6/20/2015,9,Honey I'm Good.,Andy Grammer,11,9,15
6/20/2015,10,Sugar,Maroon 5,9,2,21
6/20/2015,11,Cheerleader,OMI,16,11,7
6/20/2015,12,Talking Body,Tove Lo,12,12,19
6/20/2015,13,Nasty Freestyle,T-Wayne,10,9,8
6/20/2015,14,You Know You Like It,DJ Snake & AlunaGeorge,15,14,11
6/20/2015,15,Watch Me,Silento,19,15,15
6/20/2015,16,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,14,13,22
6/20/2015,17,Love Me Like You Do,Ellie Goulding,13,3,22
6/20/2015,18,Worth It,Fifth Harmony Featuring Kid Ink,18,17,16
6/20/2015,19,Where Are U Now,Skrillex & Diplo With Justin Bieber,17,17,14
6/20/2015,20,Thinking Out Loud,Ed Sheeran,22,2,35
6/20/2015,21,The Hills,The Weeknd,20,20,2
6/20/2015,22,Lean On,Major Lazer & DJ Snake Featuring MO,24,22,9
6/20/2015,23,This Summer's Gonna Hurt...,Maroon 5,30,23,4
6/20/2015,24,B**** Better Have My Money,Rihanna,26,17,11
6/20/2015,25,Fight Song,Rachel Platten,36,25,8
6/20/2015,26,Dear Future Husband,Meghan Trainor,21,14,21
6/20/2015,27,Slow Motion,Trey Songz,29,26,17
6/20/2015,28,Somebody,Natalie La Rose Featuring Jeremih,23,10,20
6/20/2015,29,Girl Crush,Little Big Town,25,18,16
6/20/2015,30,Flex (Ooh Ooh Ooh),Rich Homie Quan,31,30,7
6/20/2015,31,Style,Taylor Swift,27,6,26
6/20/2015,32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,28,8,30
6/20/2015,33,Elastic Heart,Sia,34,17,22
6/20/2015,34,Budapest,George Ezra,32,32,19
6/20/2015,35,Take Your Time,Sam Hunt,37,20,23
6/20/2015,36,The Night Is Still Young,Nicki Minaj,38,36,5
6/20/2015,37,Blank Space,Taylor Swift,35,1,32
6/20/2015,38,Shake It Off,Taylor Swift,39,1,42
6/20/2015,39,Sangria,Blake Shelton,40,39,8
6/20/2015,40,Bright,Echosmith,42,40,12
6/20/2015,41,Kick The Dust Up,Luke Bryan,41,26,3
6/20/2015,42,Photograph,Ed Sheeran,52,42,4
6/20/2015,43,Chains,Nick Jonas,33,13,19
6/20/2015,44,Sippin' On Fire,Florida Georgia Line,44,40,13
6/20/2015,45,Be Real,Kid Ink Featuring DeJ Loaf,51,45,8
6/20/2015,46,Blessings,Big Sean Featuring Drake,43,28,18
6/20/2015,47,Phenomenal,Eminem,,47,1
6/20/2015,48,Time Of Our Lives,Pitbull & Ne-Yo,47,9,26
6/20/2015,49,Don't It,Billy Currington,50,44,14
6/20/2015,50,Fun,Pitbull Featuring Chris Brown,53,50,4
6/13/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,2,1,12
6/13/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,1,1,5
6/13/2015,3,Trap Queen,Fetty Wap,3,2,19
6/13/2015,4,Shut Up And Dance,WALK THE MOON,4,4,29
6/13/2015,5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,6,1,29
6/13/2015,6,Earned It (Fifty Shades Of Grey),The Weeknd,5,3,23
6/13/2015,7,Want To Want Me,Jason Derulo,7,6,12
6/13/2015,8,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,8,8,10
6/13/2015,9,Sugar,Maroon 5,9,2,20
6/13/2015,10,Nasty Freestyle,T-Wayne,10,9,7
6/13/2015,11,Honey I'm Good.,Andy Grammer,12,11,14
6/13/2015,12,Talking Body,Tove Lo,13,12,18
6/13/2015,13,Love Me Like You Do,Ellie Goulding,11,3,21
6/13/2015,14,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,15,13,21
6/13/2015,15,You Know You Like It,DJ Snake & AlunaGeorge,18,15,10
6/13/2015,16,Cheerleader,OMI,27,16,6
6/13/2015,17,Where Are U Now,Skrillex & Diplo With Justin Bieber,20,17,13
6/13/2015,18,Worth It,Fifth Harmony Featuring Kid Ink,17,17,15
6/13/2015,19,Watch Me,Silento,25,19,14
6/13/2015,20,The Hills,The Weeknd,,20,1
6/13/2015,21,Dear Future Husband,Meghan Trainor,14,14,20
6/13/2015,22,Thinking Out Loud,Ed Sheeran,16,2,34
6/13/2015,23,Somebody,Natalie La Rose Featuring Jeremih,19,10,19
6/13/2015,24,Lean On,Major Lazer & DJ Snake Featuring MO,33,24,8
6/13/2015,25,Girl Crush,Little Big Town,22,18,15
6/13/2015,26,B**** Better Have My Money,Rihanna,24,17,10
6/13/2015,27,Style,Taylor Swift,23,6,25
6/13/2015,28,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,21,8,29
6/13/2015,29,Slow Motion,Trey Songz,29,26,16
6/13/2015,30,This Summer's Gonna Hurt...,Maroon 5,31,30,3
6/13/2015,31,Flex (Ooh Ooh Ooh),Rich Homie Quan,44,31,6
6/13/2015,32,Budapest,George Ezra,35,32,18
6/13/2015,33,Chains,Nick Jonas,28,13,18
6/13/2015,34,Elastic Heart,Sia,36,17,21
6/13/2015,35,Blank Space,Taylor Swift,32,1,31
6/13/2015,36,Fight Song,Rachel Platten,30,28,7
6/13/2015,37,Take Your Time,Sam Hunt,41,20,22
6/13/2015,38,The Night Is Still Young,Nicki Minaj,51,38,4
6/13/2015,39,Shake It Off,Taylor Swift,34,1,41
6/13/2015,40,Sangria,Blake Shelton,43,40,7
6/13/2015,41,Kick The Dust Up,Luke Bryan,26,26,2
6/13/2015,42,Bright,Echosmith,50,42,11
6/13/2015,43,Blessings,Big Sean Featuring Drake,45,28,17
6/13/2015,44,Sippin' On Fire,Florida Georgia Line,49,40,12
6/13/2015,45,Pretty Girls,Britney Spears & Iggy Azalea,38,29,4
6/13/2015,46,One Last Time,Ariana Grande,40,13,16
6/13/2015,47,Time Of Our Lives,Pitbull & Ne-Yo,46,9,25
6/13/2015,48,Smoke,A Thousand Horses,53,47,14
6/13/2015,49,All About That Bass,Meghan Trainor,47,1,47
6/13/2015,50,Don't It,Billy Currington,52,44,13
6/6/2015,1,Bad Blood,Taylor Swift Featuring Kendrick Lamar,53,1,4
6/6/2015,2,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,11
6/6/2015,3,Trap Queen,Fetty Wap,2,2,18
6/6/2015,4,Shut Up And Dance,WALK THE MOON,4,4,28
6/6/2015,5,Earned It (Fifty Shades Of Grey),The Weeknd,3,3,22
6/6/2015,6,Uptown Funk!,Mark Ronson Featuring Bruno Mars,5,1,28
6/6/2015,7,Want To Want Me,Jason Derulo,6,6,11
6/6/2015,8,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,11,8,9
6/6/2015,9,Sugar,Maroon 5,7,2,19
6/6/2015,10,Nasty Freestyle,T-Wayne,9,9,6
6/6/2015,11,Love Me Like You Do,Ellie Goulding,8,3,20
6/6/2015,12,Honey I'm Good.,Andy Grammer,12,12,13
6/6/2015,13,Talking Body,Tove Lo,13,13,17
6/6/2015,14,Dear Future Husband,Meghan Trainor,17,14,19
6/6/2015,15,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,15,13,20
6/6/2015,16,Thinking Out Loud,Ed Sheeran,10,2,33
6/6/2015,17,Worth It,Fifth Harmony Featuring Kid Ink,19,17,14
6/6/2015,18,You Know You Like It,DJ Snake & AlunaGeorge,18,18,9
6/6/2015,19,Somebody,Natalie La Rose Featuring Jeremih,16,10,18
6/6/2015,20,Where Are U Now,Skrillex & Diplo With Justin Bieber,22,20,12
6/6/2015,21,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,14,8,28
6/6/2015,22,Girl Crush,Little Big Town,23,18,14
6/6/2015,23,Style,Taylor Swift,20,6,24
6/6/2015,24,B**** Better Have My Money,Rihanna,25,17,9
6/6/2015,25,Watch Me,Silento,27,25,13
6/6/2015,26,Kick The Dust Up,Luke Bryan,,26,1
6/6/2015,27,Cheerleader,OMI,31,27,5
6/6/2015,28,Chains,Nick Jonas,21,13,17
6/6/2015,29,Slow Motion,Trey Songz,26,26,15
6/6/2015,30,Fight Song,Rachel Platten,28,28,6
6/6/2015,31,This Summer's Gonna Hurt...,Maroon 5,67,31,2
6/6/2015,32,Blank Space,Taylor Swift,29,1,30
6/6/2015,33,Lean On,Major Lazer & DJ Snake Featuring MO,36,33,7
6/6/2015,34,Shake It Off,Taylor Swift,34,1,40
6/6/2015,35,Budapest,George Ezra,32,32,17
6/6/2015,36,Elastic Heart,Sia,42,17,20
6/6/2015,37,Please,Sawyer Fredericks,,37,1
6/6/2015,38,Pretty Girls,Britney Spears & Iggy Azalea,30,29,3
6/6/2015,39,Feeling Myself,Nicki Minaj Featuring Beyonce,,39,20
6/6/2015,40,One Last Time,Ariana Grande,24,13,15
6/6/2015,41,Take Your Time,Sam Hunt,33,20,21
6/6/2015,42,Nasty,Bandit Gang Marco Featuring Dro,41,41,5
6/6/2015,43,Sangria,Blake Shelton,43,43,6
6/6/2015,44,Flex (Ooh Ooh Ooh),Rich Homie Quan,62,44,5
6/6/2015,45,Blessings,Big Sean Featuring Drake,35,28,16
6/6/2015,46,Time Of Our Lives,Pitbull & Ne-Yo,37,9,24
6/6/2015,47,All About That Bass,Meghan Trainor,49,1,46
6/6/2015,48,Take Me To Church,Hozier,39,2,41
6/6/2015,49,Sippin' On Fire,Florida Georgia Line,40,40,11
6/6/2015,50,Bright,Echosmith,45,45,10
5/30/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,10
5/30/2015,2,Trap Queen,Fetty Wap,2,2,17
5/30/2015,3,Earned It (Fifty Shades Of Grey),The Weeknd,3,3,21
5/30/2015,4,Shut Up And Dance,WALK THE MOON,5,4,27
5/30/2015,5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,4,1,27
5/30/2015,6,Want To Want Me,Jason Derulo,8,6,10
5/30/2015,7,Sugar,Maroon 5,6,2,18
5/30/2015,8,Love Me Like You Do,Ellie Goulding,7,3,19
5/30/2015,9,Nasty Freestyle,T-Wayne,11,9,5
5/30/2015,10,Thinking Out Loud,Ed Sheeran,9,2,32
5/30/2015,11,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,13,11,8
5/30/2015,12,Honey I'm Good.,Andy Grammer,18,12,12
5/30/2015,13,Talking Body,Tove Lo,15,13,16
5/30/2015,14,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,10,8,27
5/30/2015,15,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,14,13,19
5/30/2015,16,Somebody,Natalie La Rose Featuring Jeremih,12,10,17
5/30/2015,17,Dear Future Husband,Meghan Trainor,16,16,18
5/30/2015,18,You Know You Like It,DJ Snake & AlunaGeorge,22,18,8
5/30/2015,19,Worth It,Fifth Harmony Featuring Kid Ink,21,19,13
5/30/2015,20,Style,Taylor Swift,17,6,23
5/30/2015,21,Chains,Nick Jonas,20,13,16
5/30/2015,22,Where Are U Now,Skrillex & Diplo With Justin Bieber,24,22,11
5/30/2015,23,Girl Crush,Little Big Town,25,18,13
5/30/2015,24,One Last Time,Ariana Grande,19,13,14
5/30/2015,25,B**** Better Have My Money,Rihanna,23,17,8
5/30/2015,26,Slow Motion,Trey Songz,27,26,14
5/30/2015,27,Watch Me,Silento,33,27,12
5/30/2015,28,Fight Song,Rachel Platten,53,28,5
5/30/2015,29,Blank Space,Taylor Swift,26,1,29
5/30/2015,30,Pretty Girls,Britney Spears & Iggy Azalea,29,29,2
5/30/2015,31,Cheerleader,OMI,47,31,4
5/30/2015,32,Budapest,George Ezra,34,32,16
5/30/2015,33,Take Your Time,Sam Hunt,30,20,20
5/30/2015,34,Shake It Off,Taylor Swift,35,1,39
5/30/2015,35,Blessings,Big Sean Featuring Drake,32,28,15
5/30/2015,36,Lean On,Major Lazer & DJ Snake Featuring MO,52,36,6
5/30/2015,37,Time Of Our Lives,Pitbull & Ne-Yo,31,9,23
5/30/2015,38,Lay Me Down,Sam Smith,28,8,15
5/30/2015,39,Take Me To Church,Hozier,38,2,40
5/30/2015,40,Sippin' On Fire,Florida Georgia Line,40,40,10
5/30/2015,41,Nasty,Bandit Gang Marco Featuring Dro,60,41,4
5/30/2015,42,Elastic Heart,Sia,41,17,19
5/30/2015,43,Sangria,Blake Shelton,46,43,5
5/30/2015,44,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,36,30,20
5/30/2015,45,Bright,Echosmith,50,45,9
5/30/2015,46,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,37,14,17
5/30/2015,47,Smoke,A Thousand Horses,49,47,12
5/30/2015,48,Don't It,Billy Currington,44,44,11
5/30/2015,49,All About That Bass,Meghan Trainor,43,1,45
5/30/2015,50,I'm Not The Only One,Sam Smith,42,5,37
5/23/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,9
5/23/2015,2,Trap Queen,Fetty Wap,2,2,16
5/23/2015,3,Earned It (Fifty Shades Of Grey),The Weeknd,4,3,20
5/23/2015,4,Uptown Funk!,Mark Ronson Featuring Bruno Mars,3,1,26
5/23/2015,5,Shut Up And Dance,WALK THE MOON,5,5,26
5/23/2015,6,Sugar,Maroon 5,6,2,17
5/23/2015,7,Love Me Like You Do,Ellie Goulding,7,3,18
5/23/2015,8,Want To Want Me,Jason Derulo,8,8,9
5/23/2015,9,Thinking Out Loud,Ed Sheeran,10,2,31
5/23/2015,10,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,11,8,26
5/23/2015,11,Nasty Freestyle,T-Wayne,9,9,4
5/23/2015,12,Somebody,Natalie La Rose Featuring Jeremih,12,10,16
5/23/2015,13,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,14,13,7
5/23/2015,14,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,13,13,18
5/23/2015,15,Talking Body,Tove Lo,16,15,15
5/23/2015,16,Dear Future Husband,Meghan Trainor,18,16,17
5/23/2015,17,Style,Taylor Swift,15,6,22
5/23/2015,18,Honey I'm Good.,Andy Grammer,17,17,11
5/23/2015,19,One Last Time,Ariana Grande,19,13,13
5/23/2015,20,Chains,Nick Jonas,20,13,15
5/23/2015,21,Worth It,Fifth Harmony Featuring Kid Ink,21,21,12
5/23/2015,22,You Know You Like It,DJ Snake & AlunaGeorge,26,22,7
5/23/2015,23,B**** Better Have My Money,Rihanna,22,17,7
5/23/2015,24,Where Are U Now,Skrillex & Diplo With Justin Bieber,30,24,10
5/23/2015,25,Girl Crush,Little Big Town,24,18,12
5/23/2015,26,Blank Space,Taylor Swift,25,1,28
5/23/2015,27,Slow Motion,Trey Songz,31,27,13
5/23/2015,28,Lay Me Down,Sam Smith,23,8,14
5/23/2015,29,Pretty Girls,Britney Spears & Iggy Azalea,,29,1
5/23/2015,30,Take Your Time,Sam Hunt,27,20,19
5/23/2015,31,Time Of Our Lives,Pitbull & Ne-Yo,29,9,22
5/23/2015,32,Blessings,Big Sean Featuring Drake,28,28,14
5/23/2015,33,Watch Me,Silento,38,33,11
5/23/2015,34,Budapest,George Ezra,37,34,15
5/23/2015,35,Shake It Off,Taylor Swift,34,1,38
5/23/2015,36,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,33,30,19
5/23/2015,37,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,32,14,16
5/23/2015,38,Take Me To Church,Hozier,35,2,39
5/23/2015,39,Ayo,Chris Brown & Tyga,39,21,18
5/23/2015,40,Sippin' On Fire,Florida Georgia Line,45,40,9
5/23/2015,41,Elastic Heart,Sia,47,17,18
5/23/2015,42,I'm Not The Only One,Sam Smith,41,5,36
5/23/2015,43,All About That Bass,Meghan Trainor,43,1,44
5/23/2015,44,Don't It,Billy Currington,48,44,10
5/23/2015,45,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,36,4,16
5/23/2015,46,Sangria,Blake Shelton,44,44,4
5/23/2015,47,Cheerleader,OMI,63,47,3
5/23/2015,48,Lips Are Movin,Meghan Trainor,42,4,29
5/23/2015,49,Smoke,A Thousand Horses,55,49,11
5/23/2015,50,Bright,Echosmith,57,50,8
5/16/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,8
5/16/2015,2,Trap Queen,Fetty Wap,3,2,15
5/16/2015,3,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2,1,25
5/16/2015,4,Earned It (Fifty Shades Of Grey),The Weeknd,4,3,19
5/16/2015,5,Shut Up And Dance,WALK THE MOON,7,5,25
5/16/2015,6,Sugar,Maroon 5,5,2,16
5/16/2015,7,Love Me Like You Do,Ellie Goulding,6,3,17
5/16/2015,8,Want To Want Me,Jason Derulo,10,8,8
5/16/2015,9,Nasty Freestyle,T-Wayne,17,9,3
5/16/2015,10,Thinking Out Loud,Ed Sheeran,8,2,30
5/16/2015,11,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,9,8,25
5/16/2015,12,Somebody,Natalie La Rose Featuring Jeremih,11,10,15
5/16/2015,13,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,13,13,17
5/16/2015,14,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,19,14,6
5/16/2015,15,Style,Taylor Swift,12,6,21
5/16/2015,16,Talking Body,Tove Lo,16,16,14
5/16/2015,17,Honey I'm Good.,Andy Grammer,28,17,10
5/16/2015,18,Dear Future Husband,Meghan Trainor,20,18,16
5/16/2015,19,One Last Time,Ariana Grande,14,13,12
5/16/2015,20,Chains,Nick Jonas,15,13,14
5/16/2015,21,Worth It,Fifth Harmony Featuring Kid Ink,32,21,11
5/16/2015,22,B**** Better Have My Money,Rihanna,22,17,6
5/16/2015,23,Lay Me Down,Sam Smith,21,8,13
5/16/2015,24,Girl Crush,Little Big Town,18,18,11
5/16/2015,25,Blank Space,Taylor Swift,24,1,27
5/16/2015,26,You Know You Like It,DJ Snake & AlunaGeorge,39,26,6
5/16/2015,27,Take Your Time,Sam Hunt,23,20,18
5/16/2015,28,Blessings,Big Sean Featuring Drake,29,28,13
5/16/2015,29,Time Of Our Lives,Pitbull & Ne-Yo,25,9,21
5/16/2015,30,Where Are U Now,Skrillex & Diplo With Justin Bieber,37,30,9
5/16/2015,31,Slow Motion,Trey Songz,35,31,12
5/16/2015,32,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,27,14,15
5/16/2015,33,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,30,30,18
5/16/2015,34,Shake It Off,Taylor Swift,33,1,37
5/16/2015,35,Take Me To Church,Hozier,31,2,38
5/16/2015,36,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,26,4,15
5/16/2015,37,Budapest,George Ezra,42,37,14
5/16/2015,38,Watch Me,Silento,45,38,10
5/16/2015,39,Ayo,Chris Brown & Tyga,36,21,17
5/16/2015,40,Homegrown,Zac Brown Band,46,35,16
5/16/2015,41,I'm Not The Only One,Sam Smith,38,5,35
5/16/2015,42,Lips Are Movin,Meghan Trainor,41,4,28
5/16/2015,43,All About That Bass,Meghan Trainor,43,1,43
5/16/2015,44,Sangria,Blake Shelton,64,44,3
5/16/2015,45,Sippin' On Fire,Florida Georgia Line,44,44,8
5/16/2015,46,I Want You To Know,Zedd Featuring Selena Gomez,34,17,10
5/16/2015,47,Elastic Heart,Sia,51,17,17
5/16/2015,48,Don't It,Billy Currington,54,48,9
5/16/2015,49,Centuries,Fall Out Boy,47,10,34
5/16/2015,50,Fight Song,Rachel Platten,71,50,3
5/9/2015,1,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,7
5/9/2015,2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2,1,24
5/9/2015,3,Trap Queen,Fetty Wap,5,3,14
5/9/2015,4,Earned It (Fifty Shades Of Grey),The Weeknd,3,3,18
5/9/2015,5,Sugar,Maroon 5,4,2,15
5/9/2015,6,Love Me Like You Do,Ellie Goulding,6,3,16
5/9/2015,7,Shut Up And Dance,WALK THE MOON,8,7,24
5/9/2015,8,Thinking Out Loud,Ed Sheeran,7,2,29
5/9/2015,9,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,9,8,24
5/9/2015,10,Want To Want Me,Jason Derulo,11,10,7
5/9/2015,11,Somebody,Natalie La Rose Featuring Jeremih,10,10,14
5/9/2015,12,Style,Taylor Swift,12,6,20
5/9/2015,13,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,15,13,16
5/9/2015,14,One Last Time,Ariana Grande,13,13,11
5/9/2015,15,Chains,Nick Jonas,14,13,13
5/9/2015,16,Talking Body,Tove Lo,18,16,13
5/9/2015,17,Nasty Freestyle,T-Wayne,43,17,2
5/9/2015,18,Girl Crush,Little Big Town,25,18,10
5/9/2015,19,Hey Mama,David Guetta Featuring Nicki Minaj; Bebe Rexha & Afrojack,27,19,5
5/9/2015,20,Dear Future Husband,Meghan Trainor,24,20,15
5/9/2015,21,Lay Me Down,Sam Smith,20,8,12
5/9/2015,22,B**** Better Have My Money,Rihanna,17,17,5
5/9/2015,23,Take Your Time,Sam Hunt,21,20,17
5/9/2015,24,Blank Space,Taylor Swift,23,1,26
5/9/2015,25,Time Of Our Lives,Pitbull & Ne-Yo,19,9,20
5/9/2015,26,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,16,4,14
5/9/2015,27,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,22,14,14
5/9/2015,28,Honey I'm Good.,Andy Grammer,31,28,9
5/9/2015,29,Blessings,Big Sean Featuring Drake,28,28,12
5/9/2015,30,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,33,30,17
5/9/2015,31,Take Me To Church,Hozier,26,2,37
5/9/2015,32,Worth It,Fifth Harmony Featuring Kid Ink,34,32,10
5/9/2015,33,Shake It Off,Taylor Swift,32,1,36
5/9/2015,34,I Want You To Know,Zedd Featuring Selena Gomez,30,17,9
5/9/2015,35,Slow Motion,Trey Songz,38,35,11
5/9/2015,36,Ayo,Chris Brown & Tyga,29,21,16
5/9/2015,37,Where Are U Now,Skrillex & Diplo With Justin Bieber,40,37,8
5/9/2015,38,I'm Not The Only One,Sam Smith,37,5,34
5/9/2015,39,You Know You Like It,DJ Snake & AlunaGeorge,55,39,5
